AnnoS;AteneoCOD;AteneoNOME;SESSO;Lau
2023;101;Torino;F;6611
2023;101;Torino;M;4045
2023;102;Torino Politecnico;F;2466
2023;102;Torino Politecnico;M;5264
2023;201;Piemonte Orientale;F;1513
2023;201;Piemonte Orientale;M;855
2023;401;Bra Scienze Gastronomiche;F;27
2023;401;Bra Scienze Gastronomiche;M;16
2023;701;Aosta;F;181
2023;701;Aosta;M;53
2023;1001;Genova;F;3250
2023;1001;Genova;M;2359
2023;1201;Castellanza LIUC;F;271
2023;1201;Castellanza LIUC;M;453
2023;1202;Insubria;F;1242
2023;1202;Insubria;M;932
2023;1301;Novedrate e-Campus - telematica;F;7711
2023;1301;Novedrate e-Campus - telematica;M;6316
2023;1501;Milano;F;7436
2023;1501;Milano;M;4358
2023;1502;Milano Politecnico;F;4852
2023;1502;Milano Politecnico;M;8200
2023;1503;Milano Bocconi;F;2008
2023;1503;Milano Bocconi;M;2792
2023;1504;Milano Cattolica;F;7765
2023;1504;Milano Cattolica;M;3578
2023;1505;Milano IULM;F;1703
2023;1505;Milano IULM;M;524
2023;1508;Milano San Raffaele;F;575
2023;1508;Milano San Raffaele;M;222
2023;1509;Milano Bicocca;F;4608
2023;1509;Milano Bicocca;M;2667
2023;1510;Rozzano (MI) Humanitas University;F;182
2023;1510;Rozzano (MI) Humanitas University;M;95
2023;1601;Bergamo;F;2973
2023;1601;Bergamo;M;1508
2023;1701;Brescia;F;1284
2023;1701;Brescia;M;1461
2023;1801;Pavia;F;2855
2023;1801;Pavia;M;2056
2023;2101;Bolzano;F;595
2023;2101;Bolzano;M;274
2023;2201;Trento;F;2077
2023;2201;Trento;M;1805
2023;2301;Verona;F;3650
2023;2301;Verona;M;1642
2023;2701;Ca' Foscari Venezia;F;3150
2023;2701;Ca' Foscari Venezia;M;1630
2023;2702;Venezia Iuav;F;671
2023;2702;Venezia Iuav;M;476
2023;2801;Padova;F;8199
2023;2801;Padova;M;6427
2023;3001;Udine;F;1633
2023;3001;Udine;M;1350
2023;3201;Trieste;F;1914
2023;3201;Trieste;M;1288
2023;3401;Parma;F;3496
2023;3401;Parma;M;2128
2023;3601;Modena e Reggio Emilia;F;3190
2023;3601;Modena e Reggio Emilia;M;2530
2023;3701;Bologna;F;11230
2023;3701;Bologna;M;8333
2023;3801;Ferrara;F;3521
2023;3801;Ferrara;M;2056
2023;4101;Urbino;F;1947
2023;4101;Urbino;M;908
2023;4201;Marche;F;1231
2023;4201;Marche;M;1340
2023;4301;Macerata;F;1498
2023;4301;Macerata;M;393
2023;4302;Camerino;F;483
2023;4302;Camerino;M;540
2023;4801;Firenze;F;5506
2023;4801;Firenze;M;3842
2023;4804;Firenze IUL - telematica;F;104
2023;4804;Firenze IUL - telematica;M;44
2023;5001;Pisa;F;3645
2023;5001;Pisa;M;3405
2023;5201;Siena;F;1895
2023;5201;Siena;M;1020
2023;5202;Siena Stranieri;F;348
2023;5202;Siena Stranieri;M;52
2023;5401;Perugia;F;2809
2023;5401;Perugia;M;1702
2023;5403;Perugia Stranieri;F;162
2023;5403;Perugia Stranieri;M;47
2023;5601;Tuscia;F;665
2023;5601;Tuscia;M;676
2023;5801;Roma La Sapienza;F;12309
2023;5801;Roma La Sapienza;M;7817
2023;5802;Roma Tor Vergata;F;3068
2023;5802;Roma Tor Vergata;M;2293
2023;5803;Roma LUMSA;F;1492
2023;5803;Roma LUMSA;M;505
2023;5805;Roma LUISS;F;1575
2023;5805;Roma LUISS;M;1707
2023;5806;Roma Foro Italico;F;172
2023;5806;Roma Foro Italico;M;332
2023;5807;Roma Tre;F;3316
2023;5807;Roma Tre;M;1944
2023;5808;Roma Biomedico;F;373
2023;5808;Roma Biomedico;M;212
2023;5809;Roma UNINT;F;614
2023;5809;Roma UNINT;M;123
2023;5810;Roma Marconi - telematica;F;669
2023;5810;Roma Marconi - telematica;M;446
2023;5811;Roma UNITELMA - telematica;F;296
2023;5811;Roma UNITELMA - telematica;M;264
2023;5812;Roma Europea;F;301
2023;5812;Roma Europea;M;107
2023;5813;Roma UNINETTUNO - telematica;F;519
2023;5813;Roma UNINETTUNO - telematica;M;412
2023;5814;Roma  Mercatorum - telematica;F;3807
2023;5814;Roma  Mercatorum - telematica;M;5876
2023;5815;Roma UNICUSANO - telematica;F;2680
2023;5815;Roma UNICUSANO - telematica;M;2751
2023;5816;Roma San Raffaele - telematica;F;1237
